,bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason,LBGI,HBGI,BGI,Label,detection
0,320.0,325,320.0,-0.1,2.1,0.0,Null,0.0,193.03371819624064,386.0674363924813,0.0,0
1,320.0,316,320.0,0.1,2.1,2.1,Null,0.0,193.03371819624064,386.0674363924813,0.0,0
2,320.0,311,320.0,0.2,2.1,2.1,Null,0.0,193.03371819624064,386.0674363924813,0.0,0
3,320.0,305,320.0,0.349,2.1,2.1,Null,0.0,193.03371819624064,386.0674363924813,0.0,0
4,320.0,301,320.0,0.446,2.1,2.1,Null,0.0,193.03371819624064,386.0674363924813,0.0,0
5,319.86,297,319.86044085299216,0.541,2.1,2.1,Null,0.0,193.006651371892,386.013302743784,0.0,0
6,319.4,291,319.3986081184735,0.634,2.1,2.1,Null,0.0,192.91054198099164,385.8210839619833,0.0,0
7,318.43,285,318.4339698338602,0.775,2.1,2.1,Null,0.0,192.69813620083107,385.39627240166215,0.0,0
8,316.81,278,316.80900755679363,0.862,2.1,2.1,Null,0.0,192.322803084416,384.645606168832,0.0,0
9,314.4,269,314.3982504647222,0.997,2.1,2.1,Null,0.0,191.74194939683935,383.4838987936787,0.0,0
10,311.11,259,311.11147632201187,1.079,2.1,2.1,Null,0.0,190.91892490503002,381.83784981006005,0.0,0
11,306.89,248,306.89385507101167,1.157,2.1,2.1,Null,0.0,189.82401847243227,379.64803694486454,0.0,0
12,301.72,235,301.72433795078325,1.231,2.1,2.1,Null,0.0,188.43489596933074,376.8697919386615,0.0,0
13,295.61,220,295.6129339854785,1.353,0.7,2.1,Null,0.0,186.73668449515054,373.4733689903011,0.0,0
14,288.6,212,288.5972320910535,1.271,0.7,0.7,Null,0.0,184.7218241700682,369.4436483401364,0.0,0
15,280.74,201,280.73841323179664,1.236,0.7,0.7,Null,0.0,182.3897617913947,364.7795235827894,0.0,0
16,272.12,189,272.1169541487846,1.199,0.7,0.7,Null,0.0,179.74653398483986,359.4930679696797,0.0,0
17,262.9,178,262.89928768095945,1.16,0.7,0.7,Null,0.0,176.80879329559562,353.61758659119124,0.0,0
18,253.27,166,253.27362361974969,1.119,0.7,0.7,Null,0.0,173.60259465117534,347.2051893023507,0.0,0
19,243.42,154,243.41945009813992,1.078,0.7,0.7,Null,0.0,170.1607088753753,340.3214177507506,0.0,0
20,233.49,144,233.4944137117911,1.035,0.7,0.7,Null,0.0,166.51990322177136,333.0398064435427,0.0,0
21,223.63,134,223.6300796205831,0.992,0.7,0.7,Null,0.0,162.71866593465703,325.43733186931405,0.0,0
22,213.93,125,213.9320958295803,0.949,0.7,0.7,Null,0.0,158.7954668363162,317.5909336726324,0.0,0
23,204.48,118,204.48240096149323,0.906,0.7,0.7,Null,0.0,154.78750533958527,309.57501067917053,0.0,0
24,195.34,111,195.34223709831917,0.863,0.7,0.7,Null,0.0,150.72985746010116,301.4597149202023,0.0,0
25,186.56,105,186.5553283058831,0.82,0.25,0.7,Null,0.0,146.65493266431372,293.30986532862744,0.0,0
26,178.15,101,178.1509068729219,0.728,0.0,0.25,row_37,0.0,142.59216375240084,285.1843275048017,0.0,100
27,170.15,102,170.1464423517904,0.587,0.0,0.0,row_37,0.0,138.56786796207732,277.13573592415463,0.0,100
28,162.55,99,162.55002146270053,0.497,0.0,0.0,row_37,0.0,134.60523124308162,269.21046248616324,0.0,100
29,155.38,98,155.37602429007688,0.409,0.0,0.0,row_37,0.0,130.72471000745648,261.44942001491296,0.0,100
30,148.64,97,148.64193096433465,0.323,0.0,0.0,row_37,0.0,126.94416497696258,253.88832995392517,0.0,100
31,142.36,97,142.35875844982763,0.24,0.0,0.0,row_37,0.0,123.27870156642243,246.55740313284485,0.0,100
32,136.53,96,136.528672995691,0.159,0.0,0.0,row_37,0.0,119.74053087186829,239.48106174373657,0.0,100
33,131.15,98,131.1455836750454,0.03,0.0,0.0,row_37,0.0,116.33894615220399,232.67789230440798,0.0,100
34,126.2,98,126.19677078219743,-0.045,0.0,0.0,row_37,0.0,113.08042141963605,226.1608428392721,0.0,100
35,121.66,99,121.66468459069412,-0.119,0.0,0.0,row_37,0.0,109.96880769770378,219.93761539540756,0.0,100
36,117.53,100,117.5285642361834,-0.189,0.0,0.0,Null,0.0,107.00559559265905,214.0111911853181,0.0,0
37,113.77,100,113.7657646796745,-0.255,0.0,0.0,Null,0.0,104.19021533034886,208.38043066069773,0.0,0
38,110.35,102,110.35278457660628,-0.319,0.0,0.0,Null,0.0016795820113264294,101.5186713475194,203.04070185906144,0.0,0
39,107.27,105,107.26602934285764,-0.43,0.25,0.0,Null,0.011546487608563215,98.98070456383141,197.98450210287996,0.0,0
40,104.48,104,104.48235586904654,-0.437,0.15,0.25,Null,0.03448324456219292,96.56654103788432,193.202048564893,0.0,0
41,101.98,105,101.97944467800606,-0.492,0.25,0.15,Null,0.07357320540298277,94.26733767983946,188.68182177048487,0.0,0
42,99.74,106,99.73603969804932,-0.543,0.35,0.25,Null,0.1304523868717947,92.07507401286645,184.4110527994765,0.0,0
43,97.73,107,97.7274365773836,-0.592,0.45,0.35,Null,0.20566904677153386,89.9824586943922,180.37625548232745,0.0,0
44,95.93,109,95.93107615604292,-0.638,0.6,0.45,Null,0.29896184149511495,87.98284850118348,176.56362068535717,0.0,0
45,94.32,108,94.3248111214743,-0.631,0.5,0.6,Null,0.40950896722248276,86.07017788159254,172.95937369763007,0.0,0
46,92.89,107,92.88642593891434,-0.623,0.45,0.5,Null,0.5361464553617533,84.23889750113312,169.55008791298977,0.0,0
47,91.59,105,91.59365729970833,-0.61,0.25,0.45,Null,0.6775524622691907,82.48392046985953,166.32294586425743,0.0,0
48,90.42,105,90.4235287939579,-0.635,0.25,0.25,Null,0.8324111721432268,80.80057515414809,163.26597265258266,0.0,0
49,89.36,105,89.3566017240592,-0.666,0.25,0.25,Null,0.9994746387455387,79.18456365106513,160.36807657962134,0.0,0
50,88.38,107,88.37737881865844,-0.695,0.45,0.25,Null,1.1775806085645981,77.63192514810308,157.61901151333535,0.0,0
51,87.48,105,87.47652671578915,-0.674,0.25,0.45,Null,1.365598584883104,76.13900351063955,155.00920419104534,0.0,0
52,86.65,104,86.64770061071191,-0.652,0.15,0.25,Null,1.562410877698942,74.7024185387407,152.52965883287928,0.0,0
53,85.89,104,85.88601535820536,-0.678,0.15,0.15,Null,1.766911213218518,73.3190404176529,150.17190326174284,0.0,0
54,85.18,105,85.18411171465576,-0.74,0.25,0.15,Null,1.9780768265405337,71.98596695551376,147.92808756410858,0.0,0
55,84.54,106,84.53739707940794,-0.759,0.35,0.25,Null,2.1949313346956094,70.70050325987958,145.79086918915038,0.0,0
56,83.94,106,83.94413249317634,-0.778,0.35,0.35,Null,2.416498408129674,69.46014355356591,143.75328392339117,0.0,0
57,83.4,104,83.40355222665438,-0.747,0.15,0.35,Null,2.641790668263664,68.26255487160788,141.80869107974308,0.0,0
58,82.91,105,82.91347260272376,-0.765,0.25,0.15,Null,2.8698484410603395,67.1055624161569,139.95082171443448,0.0,0
59,82.47,106,82.46956279362631,-0.782,0.35,0.25,Null,3.099794105617357,65.98713637588762,138.17386096300996,0.0,0
